week,away_team,home_team,away_score,home_score,model_prob_home,market_prob_home,model_prob_of_actual,market_prob_of_actual,model_extra_confidence_in_loser
9,CAR,GB,16,13,0.8410061103530063,0.8720930232558138,0.15899388964699368,0.12790697674418616,-0.031086912902807518
5,NE,BUF,23,20,0.8377987440348299,0.7659021045164341,0.1622012559651701,0.23409789548356585,0.07189663951839576
18,WAS,PHI,24,17,0.8346872419337896,0.6164383561643836,0.16531275806621037,0.3835616438356164,0.21824888576940604
16,KC,TEN,9,26,0.1828860117390911,0.3775334481388264,0.1828860117390911,0.3775334481388264,0.19464743639973528
6,PHI,NYG,17,34,0.1861685589170863,0.2340978954835658,0.1861685589170863,0.2340978954835658,0.04792933656647949
14,NO,TB,24,20,0.8069851820574775,0.7768331562167907,0.1930148179425225,0.22316684378320928,0.03015202584068677
13,CIN,BAL,32,14,0.7890700991344377,0.7571884984025559,0.2109299008655623,0.24281150159744413,0.03188160073188184
13,LA,CAR,28,31,0.2244386916949757,0.182741116751269,0.2244386916949757,0.182741116751269,-0.04169757494370671
5,TEN,ARI,22,21,0.7752712306024783,0.7768331562167907,0.22472876939752173,0.22316684378320928,-0.0015619256143124538
2,ATL,MIN,22,6,0.7723315704859777,0.6164383561643836,0.22766842951402233,0.3835616438356164,0.1558932143215941
