sweep,value,n,model_brier,market_brier,gap,published
k_factor,12.0,272,0.22587705923305681,0.21159985695624275,0.01427720227681406,False
k_factor,16.0,272,0.2242758616284386,0.21159985695624275,0.012676004672195845,False
k_factor,20.0,272,0.2235027727640779,0.21159985695624275,0.011902915807835146,True
k_factor,24.0,272,0.22327545547541588,0.21159985695624275,0.01167559851917313,False
k_factor,30.0,272,0.22365877352806626,0.21159985695624275,0.012058916571823508,False
home_field_advantage,0.0,272,0.22341449735067187,0.21159985695624275,0.011814640394429116,False
home_field_advantage,25.0,272,0.22243415417448123,0.21159985695624275,0.010834297218238476,False
home_field_advantage,48.0,272,0.2235027727640779,0.21159985695624275,0.011902915807835146,True
home_field_advantage,55.0,272,0.22419238156931395,0.21159985695624275,0.012592524613071199,False
home_field_advantage,65.0,272,0.2254619076983469,0.21159985695624275,0.013862050742104143,False
season_regression,0.0,272,0.23117728490562311,0.21159985695624275,0.01957742794938036,False
season_regression,0.25,272,0.22464932799221393,0.21159985695624275,0.013049471035971177,False
season_regression,0.3333333333333333,272,0.2235027727640779,0.21159985695624275,0.011902915807835146,True
season_regression,0.5,272,0.222392670017362,0.21159985695624275,0.010792813061119233,False
devig_method,proportional,272,0.2235027727640779,0.21159985695624275,0.011902915807835146,True
devig_method,power,272,0.2235027727640779,0.2119551600523672,0.011547612711710703,False
devig_method,additive,272,0.2235027727640779,0.21180209959857715,0.011700673165500747,False
