bin,n,mean_predicted,actual_freq
1,9,0.16679338308198147,0.1111111111111111
2,26,0.24749737658290957,0.23076923076923078
3,33,0.34640518933689346,0.45454545454545453
4,46,0.4415595312054113,0.41304347826086957
5,44,0.5546749065405401,0.5681818181818182
6,45,0.6447893585298842,0.5333333333333333
7,40,0.7491999813136737,0.725
8,26,0.857369693018931,0.9230769230769231
9,3,0.9053888284179062,1.0
