forecaster,n,brier,recalibrated_brier,auc,gap,gap_closed_model_recalibrated,gap_left_both_recalibrated
model,272,0.223911,0.222909,0.686617,0.012312,0.081424,0.930332
market,272,0.2116,0.211455,0.72032,0.012312,0.081424,0.930332
