threshold,n,model_brier,market_brier,gap,model_hit_rate,market_hit_rate
0.0,272,0.22391143717566783,0.21159985695624275,0.012311580219425078,0.6433823529411765,0.6580882352941176
0.05,138,0.2274722054939563,0.20717665101585428,0.020295554478102024,0.6304347826086957,0.6521739130434783
0.1,57,0.2613780794877111,0.2040157847487973,0.05736229473891377,0.5087719298245614,0.6491228070175439
0.15,28,0.2868991166442303,0.1999594871719182,0.0869396294723121,0.4642857142857143,0.6785714285714286
0.2,14,0.2929269685924279,0.18254436765506116,0.11038260093736674,0.42857142857142855,0.7142857142857143
