treatment,n,model_brier,market_brier
as published (tie = home non-win),272,0.2235027727640779,0.21159985695624275
tie scored at 0.5,272,0.22314148619991592,0.2115780518646878
tie excluded,271,0.22387993445359414,0.21213896835079202
