bucket,n,model_brier,market_brier,gap
weeks 1-4,64,0.19979335965118938,0.19314700677843033,0.006646352872759054
weeks 5-17,192,0.23108171407228262,0.21845675579611357,0.012624958276169052
week 18,16,0.2273931295171749,0.20312847158904268,0.024264657928132233
