bin,n,mean_predicted,actual_freq
1,5,0.16979443054566884,0.4
2,21,0.2543259338743753,0.3333333333333333
3,24,0.3511947691018426,0.2916666666666667
4,50,0.45402012591931856,0.4
5,56,0.5489292485705627,0.5535714285714286
6,45,0.6461067663694788,0.5555555555555556
7,45,0.7407514571537269,0.7111111111111111
8,25,0.8455262377699166,0.84
9,1,0.9040377299680864,1.0
